Email;Password;Roles; Not  Assigned ;Student;Mentor;Admin;Secretary
james.smith@example.com;_JkcG9dB;4;0;0;0;1;0
robert.jones@example.com;Ho_ewe9_;8;0;0;0;0;1
john.williams@example.com;r_Z4DPD4;8;0;0;0;0;1
michael.taylor@example.com;fws5pQ_F;2;0;0;1;0;0
william.davies@example.com;Tjtf_7LL;10;0;0;1;0;1
david.brown@example.com;Erd6M1L_;3;0;1;1;0;0
richard.thomas@example.com;kM2MC_zO;3;0;1;1;0;0
joseph.evans@example.com;_3rrGZ5W;3;0;1;1;0;0
thomas.roberts@example.com;eXv_4JFh;1;0;1;0;0;0
charles.johnson@example.com;_BnQW40w;1;0;1;0;0;0
christopher.wilson@example.com;80N_3EFk;1;0;1;0;0;0
daniel.robinson@example.com;E_Ubwh9c;1;0;1;0;0;0
matthew.wright@example.com;5dUZUkL_;1;0;1;0;0;0
anthony.wood@example.com;uRe_NmC8;1;0;1;0;0;0
mark.thompson@example.com;G78VS_9i;1;0;1;0;0;0
donald.hall@example.com;J_nJCI0C;1;0;1;0;0;0
steven.green@example.com;aW_04oDT;1;0;1;0;0;0
paul.walker@example.com;xX6QsQ_r;1;0;1;0;0;0
andrew.hughes@example.com;_seX1YIS;1;0;1;0;0;0
joshua.edwards@example.com;GdwiTd_1;1;0;1;0;0;0
mary.lewis@example.com;X_5dBcGf;4;0;0;0;1;0
patricia.white@example.com;Y3mxl8r_;8;0;0;0;0;1
jennifer.turner@example.com;_i9jDDVs;8;0;0;0;0;1
linda.jackson@example.com;Gav4b_bw;2;0;0;1;0;0
elizabeth.hill@example.com;fgVA1PR_;10;0;0;1;0;1
barbara.harris@example.com;IB3MWKs_;3;0;1;1;0;0
susan.clark@example.com;_osZRDT0;3;0;1;1;0;0
jessica.cooper@example.com;NoI_FPk2;3;0;1;1;0;0
sarah.harrison@example.com;__h7pwI_;1;0;1;0;0;0
karen.ward@example.com;xa_90wzA;1;0;1;0;0;0
nancy.martin@example.com;r_ggDM10;1;0;1;0;0;0
lisa.davis@example.com;hjy5_iPW;1;0;1;0;0;0
betty.baker@example.com;_H2qH6Zp;1;0;1;0;0;0
margaret.morris@example.com;J0vN_a2m;1;0;1;0;0;0
sandra.james@example.com;Kq1_fC1S;1;0;1;0;0;0
ashley.king@example.com;aRs2_lJC;1;0;1;0;0;0
kimberly.morgan@example.com;LQ4o0_Iu;1;0;1;0;0;0
emily.allen@example.com;7DkbeYz_;1;0;1;0;0;0
donna.moore@example.com;P14tt_7C;1;0;1;0;0;0
michelle.parker@example.com;JZ1_446r;1;0;1;0;0;0
